"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"965",1005,500,487.68,320,0.45,64,5,487.739259111111,14.4354162416626,-0.0245214817777776,0.228833844934847,-0.984147748765678,5,7,0.00107873309012281,0.04,0.84,0.989132209125436,0.0112628590979872,0.5,4,1
"966",1006,500,490.1,320,0.45,64,5,490.156445777778,9.09356976603884,-0.0196871084444444,0.227231836524489,-0.975011811382026,5,7,0.00107118115005293,0.04,0.8,0.989087435704242,0.0112734365896349,0.5,4,2
"967",1007,500,487.14,320,0.45,64,5,487.203633333333,12.3276952201059,-0.0255927333333334,0.236355174077031,-0.980827302276946,5,7,0.00111418897572264,0.06,0.82,0.989143644092259,0.0112291214020834,0.5,4,3
"968",1008,500,488.72,320,0.45,64,5,488.772649333333,13.0398114067518,-0.0224547013333333,0.216503545598172,-0.983396727234408,5,7,0.00102060750162266,0.06,0.8,0.989113093925592,0.0112596800523582,0.5,4,4
"969",1009,500,494.98,306.3,0.45,64,5,495.022658666667,6.62699278550264,-0.0099546826666666,0.182023244095774,-0.972533055340882,5,7,0.000858065801557972,0.3,0.52,0.988935023390243,0.0113830552975792,0.75,1,1
"970",1010,500,494.1,319.28,0.45,64,5,494.144424444444,8.49598403067109,-0.0117111511111111,0.189557154669189,-0.977688616882415,5,7,0.000893580996593406,0.16,0.6,0.989135910627882,0.0112442116598884,0.75,1,2
"971",1011,500,493.8,319.98,0.45,64,5,493.844920444444,6.80073822439418,-0.012310159111111,0.193275129286331,-0.971580272183826,5,7,0.000911107697020473,0.16,0.56,0.989033235002848,0.0113277895630313,0.75,1,3
"972",1012,500,496.2,319.98,0.45,64,5,496.233518222222,4.80996881853319,-0.00753296355555556,0.162854260212394,-0.966142345957649,5,7,0.000767702344942017,0.22,0.42,0.989115147821904,0.0112720094538775,0.75,1,4
"973",1013,500,496.48,319.12,0.45,64,5,496.511054222222,5.14435459146863,-0.00697789155555568,0.153368584479855,-0.970187011460252,5,7,0.000722986440711249,0.34,0.36,0.989092798921767,0.0112695918499802,0.75,2,1
"974",1014,500,494.48,320,0.45,64,5,494.514669777778,8.5093443248526,-0.0109706604444446,0.165024813890238,-0.980606635765312,5,7,0.00077793443310557,0.2,0.38,0.989037820146587,0.0113084533606515,0.75,2,2
"975",1015,500,495.64,320,0.45,64,5,495.675972444444,6.10897824797869,-0.00864805511111116,0.167357929895757,-0.97260459554736,5,7,0.000788932847430883,0.28,0.4,0.988971945656956,0.011333031534534,0.75,2,3
"976",1016,500,494.62,320,0.45,64,5,494.657447111111,7.27032010743361,-0.0106851057777776,0.171441166229964,-0.976419034692204,5,7,0.000808181408104917,0.26,0.48,0.989017255257586,0.0113353464535075,0.75,2,4
"977",1017,500,495.1,319.98,0.45,64,5,495.138085333333,8.32537720786037,-0.00972382933333328,0.163949096042769,-0.980307307170662,5,7,0.000772863450541641,0.3,0.34,0.989209987075539,0.0111817096786846,0.75,3,1
